0.5 0.3; 28.50787957 35.76197526 31.59663873 -56.33447379; 0.19386895 0.19755943 0.17489348 0.17582225
0.5 0.3; 28.4931061 35.81902452 31.61244703 -56.29818145; 0.19380825 0.19753527 0.1746449 0.17558287
0.5 0.3; 28.47833263 35.87607378 31.62825534 -56.26188911; 0.19374755 0.1975111 0.17439632 0.17534348
0.5 0.3; 28.46355916 35.93312304 31.64406364 -56.22559677; 0.19368684 0.19748694 0.17414774 0.1751041
0.5 0.3; 28.4487857 35.9901723 31.65987195 -56.18930444; 0.19362614 0.19746277 0.17389916 0.17486472
0.5 0.3; 28.43401223 36.04722156 31.67568025 -56.1530121; 0.19356544 0.19743861 0.17365058 0.17462533
0.5 0.3; 28.41923876 36.10427083 31.69148856 -56.11671976; 0.19350473 0.19741444 0.173402 0.17438595
0.5 0.3; 28.40446529 36.16132009 31.70729686 -56.08042742; 0.19344403 0.19739028 0.17315342 0.17414657
0.5 0.3; 28.38969182 36.21836935 31.72310516 -56.04413508; 0.19338333 0.19736612 0.17290484 0.17390718
0.5 0.3; 28.37491835 36.27541861 31.73891347 -56.00784274; 0.19332262 0.19734195 0.17265626 0.1736678
0.5 0.3; 28.36014488 36.33246787 31.75472177 -55.9715504; 0.19326192 0.19731779 0.17240768 0.17342841
0.5 0.3; 28.34537141 36.38951713 31.77053008 -55.93525807; 0.19320122 0.19729362 0.1721591 0.17318903
0.5 0.3; 28.33059794 36.44656639 31.78633838 -55.89896573; 0.19314051 0.19726946 0.17191052 0.17294965
0.5 0.3; 28.31582447 36.50361565 31.80214669 -55.86267339; 0.19307981 0.1972453 0.17166194 0.17271026
0.5 0.3; 28.301051 36.56066491 31.81795499 -55.82638105; 0.19301911 0.19722113 0.17141336 0.17247088
0.5 0.3; 28.28627753 36.61771417 31.83376329 -55.79008871; 0.1929584 0.19719697 0.17116478 0.1722315
0.5 0.3; 28.27150406 36.67476343 31.8495716 -55.75379637; 0.1928977 0.1971728 0.1709162 0.17199211
0.5 0.3; 28.25673059 36.73181269 31.8653799 -55.71750403; 0.192837 0.19714864 0.17066762 0.17175273
0.5 0.3; 28.24195712 36.78886195 31.88118821 -55.68121169; 0.19277629 0.19712448 0.17041904 0.17151335
0.5 0.3; 28.22718365 36.84591121 31.89699651 -55.64491936; 0.19271559 0.19710031 0.17017047 0.17127396
0.5 0.3; 28.21241018 36.90296047 31.91280482 -55.60862702; 0.19265489 0.19707615 0.16992189 0.17103458
0.5 0.3; 28.19763671 36.96000973 31.92861312 -55.57233468; 0.19259418 0.19705198 0.16967331 0.17079519
0.5 0.3; 28.18286324 37.01705899 31.94442142 -55.53604234; 0.19253348 0.19702782 0.16942473 0.17055581
0.5 0.3; 28.16808977 37.07410825 31.96022973 -55.49975; 0.19247278 0.19700366 0.16917615 0.17031643
0.5 0.3; 28.1533163 37.13115751 31.97603803 -55.46345766; 0.19241207 0.19697949 0.16892757 0.17007704
